summary_level,slide,cell_state,if_marker,n_cells,mean_value,median_value,q25,q75,pct_above_slide_q80,other_mean_value,delta_log1p_vs_rest
slide,slide3,CAF/matrix-like,Mean.CD3,9666,101.901200082764,86,61,119,0.0170701427684668,290.744994254274,-0.723679492377944
slide,slide3,CAF/matrix-like,Mean.DAPI,9666,1424.01924270639,1353,1043,1722,0.106248706807366,1555.40143469025,-0.0226004745491313
slide,slide3,CAF/matrix-like,Mean.MembraneStain,9666,172.886302503621,127,63,234,0.00848334367887441,586.516697426611,-1.17151860792334
slide,slide3,TGF/EMT stromal-interface,Mean.PanCK,7736,878.586478800414,660.5,79,1500,0.271845915201655,715.741779529681,0.469365011138762
slide,slide3,TGF/EMT stromal-interface,Mean.CD45,7736,63.4342037228542,62,47,79,0,92.7503369045213,-0.203832718796489
slide,slide3,TGF/EMT stromal-interface,Mean.CD3,7736,146.640770423992,121,84,183,0.0592037228541882,278.775217303416,-0.298306315485265
slide,slide3,TGF/EMT stromal-interface,Mean.DAPI,7736,1455.27766287487,1391,1077,1765,0.117502585315409,1547.05659995957,-0.00309872271117229
slide,slide3,TGF/EMT stromal-interface,Mean.MembraneStain,7736,433.757238883144,287,132,578,0.15124095139607,539.073731554478,-0.190404429128203
slide,slide3,tumor epithelial-like,Mean.PanCK,17842,1527.62364084744,1496,1033,1895,0.548929492209394,447.240630963498,2.80105839660639
slide,slide3,tumor epithelial-like,Mean.CD45,17842,74.1894966931958,75,60,89,0,94.8692395143936,-0.00809750606401227
slide,slide3,tumor epithelial-like,Mean.CD3,17842,200.361506557561,177,123,251,0.142416769420469,286.426062771529,0.097699839349989
slide,slide3,tumor epithelial-like,Mean.DAPI,17842,1367.5441654523,1276,886,1738,0.137036206703284,1597.66480571684,-0.174273774310594
slide,slide3,tumor epithelial-like,Mean.MembraneStain,17842,788.887568658222,627,380,1013,0.368456451070508,432.047322262374,0.934329726068937
slide,slide3,immune-like,Mean.PanCK,17902,526.156853982795,108,9,824,0.129706178080661,810.33334688402,-1.15714337590495
slide,slide3,immune-like,Mean.CD45,17902,141.757122109262,115,91,146,0.589375488772204,70.3081832594821,0.726160458350672
slide,slide3,immune-like,Mean.CD3,17902,531.174673220869,278,143,637,0.473187353368339,166.155859994309,0.892396138198502
slide,slide3,immune-like,Mean.DAPI,17902,1958.92660037985,1850.5,1323.25,2483,0.394145905485421,1382.7552339526,0.362792540502198
slide,slide3,immune-like,Mean.MembraneStain,17902,619.592280192157,406,232,732,0.226678583398503,493.21472417578,0.412364936575125
slide,slide3,other/background,Mean.PanCK,22042,506.36162780147,222,27,854,0.0598856728064604,846.127591104798,-0.636219603910737
slide,slide3,other/background,Mean.CD45,22042,76.394156610108,54,39,70,0.139143453407132,95.7183629988015,-0.358358059365799
slide,slide3,other/background,Mean.CD3,22042,166.033300063515,114,67,204,0.101760275837038,311.241488747836,-0.480439545726804
slide,slide3,other/background,Mean.DAPI,22042,1378.0396969422,1276,907,1736,0.133427093730152,1613.98075813396,-0.154934006880025
slide,slide3,other/background,Mean.MembraneStain,22042,390.456537519281,233,107,466,0.123899827601851,593.694260730614,-0.548134961035661
slide,slide4,CAF/matrix-like,Mean.PanCK,11767,190.850854083454,106,29,255,0,1576.90795954726,-1.22336260710425
slide,slide4,CAF/matrix-like,Mean.CD45,11767,57.8641114982579,55,41,72,0,109.302832215468,-0.517066441670176
slide,slide4,CAF/matrix-like,Mean.CD3,11767,116.051924874649,102,72,143,0.0180164867850769,258.141230874031,-0.446996781846307
slide,slide4,CAF/matrix-like,Mean.DAPI,11767,1531.38522988017,1452,1119.5,1859,0.109373672133934,1737.71326765877,-0.112803634979977
slide,slide4,CAF/matrix-like,Mean.MembraneStain,11767,550.56462989717,402,178,763,0.0673068751593439,1108.18591490254,-0.491555609765136
slide,slide4,TGF/EMT stromal-interface,Mean.PanCK,8617,1831.93756527794,252,65,1512,0.252291980967854,1344.07042749667,0.274979465454202
slide,slide4,TGF/EMT stromal-interface,Mean.CD45,8617,71.130207728908,67,49,91,0,105.826170646403,-0.27430094642325
slide,slide4,TGF/EMT stromal-interface,Mean.CD3,8617,172.168155970756,135,91,210,0.140768248810491,246.426779558664,-0.0661006666812645
slide,slide4,TGF/EMT stromal-interface,Mean.DAPI,8617,1658.00081234768,1588,1253,1991,0.140652199141232,1715.81029363662,-0.0105117547053535
