Patient,module,immune,stromal_fibroblast,tumor_epithelial,stromal_minus_tumor,immune_minus_tumor,fibroblast_minus_nonfibroblast,nonfibroblast,tme_like,tme_minus_tumor
MGH011,tgfb_emt,0.241260765960273,0.497183403675603,-0.538334130386741,1.03551753406234,0.779594896347014,0.828168290583886,-0.330984886908283,0.326033480239216,0.864367610625957
MGH011,ifn_apc,0.449572549464213,-0.354200602706716,-0.342456564167865,-0.0117440385388505,0.792029113632079,-0.208496371060312,-0.145704231646404,-0.112527649803432,0.229928914364434
MGH011,immune_core,0.134171205368462,-0.380251006364745,-0.615160178017389,0.234909171652645,0.749331383385852,-0.00972761663535326,-0.370523389729391,-0.147779460898198,0.467380717119191
MGH011,t_cell,0.646154209279999,-0.547385285432043,-0.956024273887071,0.408638988455027,1.60217848316707,0.134603996121994,-0.681989281554038,-0.0373286547640825,0.918695619122988
MGH011,b_plasma,0.0867159792949402,-0.253263710938718,-0.297272194057729,0.0440084831190105,0.383988173352669,-0.0326093220912125,-0.220654388847506,-0.119281280847845,0.177990913209884
MGH011,tumor_epithelial,-0.0990751601863052,-0.034192674073891,2.6784955526741,-2.71268822674799,-2.77757071286041,-2.03694001008787,2.00274733601398,-0.0990751601863052,-2.77757071286041
MGH011,tumor_aggressive,-0.422187783485668,-0.38255724225884,0.175814390846754,-0.558371633105595,-0.598002174332422,-0.373726521842558,-0.00883072041628229,-0.38255724225884,-0.558371633105595
MGH2462,caf_mycaf,-0.433485257490969,1.75306108106482,-0.687255963089479,2.4403170441543,0.25377070559851,2.24094894726507,-0.487887866200255,0.584846869112458,1.27210283220194
MGH2462,pancaf_matrix,-0.377834808163688,1.52240241273871,-0.726832675996781,2.24923508873549,0.348997867833094,1.93808471960735,-0.415682306868637,0.912553096419592,1.63938577241637
MGH2462,myeloid_macrophage,1.03010541676787,-0.361699583741468,-0.402678670445506,0.0409790867040376,1.43278408721338,-0.501881585054452,0.140182001312984,0.102878620681088,0.505557291126594
MGH2462,spp1_tam,0.106556841485989,-0.595842555692279,-0.100809198533493,-0.495033357158786,0.207366040019482,-0.548844813540295,-0.0469977421519835,-0.41456634576484,-0.313757147231347
MGH2462,tgfb_emt,-0.156196723196618,0.478826017577314,-0.253488425003397,0.73231444258071,0.0972917018067783,0.677782299639473,-0.19895628206216,0.185125001539347,0.438613426542743
MGH2462,ifn_apc,0.499435308764086,-0.516263684472162,-0.501470021542876,-0.0147936629292861,1.00090533030696,-0.443332522507837,-0.0729311619643253,-0.0911007933130437,0.410369228229832
MGH2462,immune_core,0.516790607116716,0.0278175336680502,-0.124137433632225,0.151954967300275,0.640928040748941,-0.225464658248565,0.253282191916615,0.218178107325194,0.342315540957419
MGH2462,t_cell,0.791753585815812,0.159726098922164,-0.178484166417987,0.338210265340151,0.9702377522338,0.00392910965397314,0.155796989268191,0.201220035837493,0.379704202255481
MGH2462,b_plasma,-0.00679290248191842,0.175815997740391,-0.0850514226455971,0.260867420385988,0.0782585201636787,0.20596407076828,-0.0301480730278883,0.0184854070535641,0.103536829699161
MGH2462,tumor_epithelial,-0.708352562860973,-0.68415306604788,0.0305572333280761,-0.714710299375956,-0.738909796189049,-0.0766749546571888,-0.607478111390692,-0.694052891396628,-0.724610124724704
MGH2462,tumor_aggressive,-0.541458923043594,-0.513307909336464,0.717190446630982,-1.23049835596745,-1.25864936967458,-0.10292139056284,-0.410386518773624,-0.524655624589364,-1.24184607122035
MGH2490,caf_mycaf,-0.411750274422882,0.084186531513825,-0.643744682630975,0.7279312141448,0.231994408208093,0.618193479915076,-0.534006948401251,-0.215536492466285,0.42820819016469
MGH2490,pancaf_matrix,-0.288712858468784,-0.0993066583929942,-0.692704921411448,0.593398263018454,0.403992062942664,0.43189112751268,-0.531197785905674,-0.266848488054808,0.42585643335664
MGH2490,myeloid_macrophage,0.444596991001131,-0.342303230040741,-0.381299562243883,0.0389963322031423,0.825896553245014,-0.124728578560236,-0.217574651480505,-0.049151028388602,0.332148533855281
MGH2490,spp1_tam,-0.463361543494154,-0.620477942803668,-0.324300604475183,-0.296177338328485,-0.139060939018971,-0.237593433982362,-0.382884508821306,-0.497475996300873,-0.173175391825689
MGH2490,tgfb_emt,-0.213176182469437,-0.321241471207981,-0.523675830842398,0.202434359634417,0.310499648372961,0.0911354150182935,-0.412376886226275,-0.253733477292405,0.269942353549994
MGH2490,ifn_apc,-0.0876374201304488,-0.40669448377868,-0.630316189646995,0.223621705868315,0.542678769516546,0.0576145806164826,-0.464309064395163,-0.358461140190206,0.271855049456789
MGH2490,immune_core,-0.00851000804793228,-0.114927038321901,-0.324124232219381,0.20919719389748,0.315614224171449,0.0659077449753439,-0.180834783297245,-0.0709969263955599,0.253127305823821
MGH2490,t_cell,0.374924988722722,-0.25504345884463,-0.427472107702051,0.172428648857421,0.802397096424773,-0.0495341340653495,-0.20550932477928,-0.0633090187931503,0.3641630889089
MGH2490,b_plasma,0.540870951180123,-0.0549537932074134,-0.302883097723191,0.247929304515777,0.843754048903314,0.0697246310253008,-0.124678424232714,-0.00884965569163671,0.294033442031554
MGH2490,tumor_epithelial,-0.63603059370015,-0.578102399508731,-0.0982055369919325,-0.479896862516798,-0.537825056708218,-0.183581339142694,-0.394521060366037,-0.618487274604012,-0.520281737612079
MGH2490,tumor_aggressive,-0.514004909508224,-0.494985986516653,-0.296585961110794,-0.198400025405859,-0.21741894839743,-0.100291125418153,-0.3946948610985,-0.511747339513685,-0.21516137840289
MGH2523,caf_mycaf,-0.123180676808975,1.4204014197075,-0.630932071867888,2.05133349157539,0.507751395058913,1.61641887158381,-0.196017451876304,0.4515103051248,1.08244237699269
MGH2523,pancaf_matrix,-0.00682735832409997,1.21133252017805,-0.729047857355388,1.94038037753344,0.722220499031288,1.36740839380818,-0.156075873630124,0.435734160518999,1.16478201787439
MGH2523,myeloid_macrophage,0.566280338583228,-0.416005358920379,-0.604740316222921,0.188734957302542,1.17102065480615,-0.0825619322899578,-0.333443426630422,-0.260849268493282,0.34389104772964
MGH2523,spp1_tam,-0.0526263618297496,-0.157647689559142,0.310700154411297,-0.46834784397044,-0.363326516241047,-0.348200554055508,0.190552864496366,-0.0814618903802765,-0.392162044791574
