dataset,sample_id,tissue_site,target_program,observed_rho,random_median_rho,delta_vs_random,empirical_p,support,source_file
GSE282302,GSM8641022_C1_D8_ROI3_s1,metadata_required,immune_maturity,-0.557731779758224,-0.000465108975206159,-0.557266670783018,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641023_C1_D9_ROI1_s1,metadata_required,immune_core,-0.133125869738256,0.00298743160051692,-0.136113301338773,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641023_C1_D9_ROI1_s1,metadata_required,ifn_mhc,-0.219815397889072,0.00201444317328063,-0.221829841062352,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641023_C1_D9_ROI1_s1,metadata_required,tumor_aggressive,-0.678082336557159,0.00744881183594019,-0.685531148393099,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641023_C1_D9_ROI1_s1,metadata_required,immune_maturity,0.0304445609804321,-0.00182820261064335,0.0322727635910754,0.894105894105894,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641024_C1_D9_ROI2_s1,metadata_required,immune_core,-0.450765634865623,0.0112177618029978,-0.461983396668621,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641024_C1_D9_ROI2_s1,metadata_required,ifn_mhc,-0.462642808785562,0.0101847666948395,-0.472827575480401,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641024_C1_D9_ROI2_s1,metadata_required,tumor_aggressive,-0.463787424468003,0.0075641845881812,-0.471351609056185,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641024_C1_D9_ROI2_s1,metadata_required,immune_maturity,-0.274322740708806,0.00484496615772867,-0.279167706866534,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641025_C2_D1,metadata_required,immune_core,0.00550853336109136,-0.0102729483450805,0.0157814817061719,0.601398601398601,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641025_C2_D1,metadata_required,ifn_mhc,-0.195472373917409,-0.0138138202308273,-0.181658553686582,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641025_C2_D1,metadata_required,tumor_aggressive,-0.370427340615824,0.00776420560252382,-0.378191546218348,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641025_C2_D1,metadata_required,immune_maturity,-0.14472634728335,-0.00284592931767703,-0.141880417965672,0.00599400599400599,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641026_C2_D10_s1,metadata_required,immune_core,-0.154044927941014,-0.0165266290740403,-0.137518298866974,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641026_C2_D10_s1,metadata_required,ifn_mhc,-0.236429797128855,-0.0161194927477242,-0.22031030438113,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641026_C2_D10_s1,metadata_required,tumor_aggressive,-0.569023939388862,-0.00111518718742231,-0.56790875220144,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641026_C2_D10_s1,metadata_required,immune_maturity,0.214435702484865,-0.00715222722147926,0.221587929706344,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641027_C2_D10_s2,metadata_required,immune_core,-0.22219838207677,-0.00806322765052417,-0.214135154426246,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641027_C2_D10_s2,metadata_required,ifn_mhc,-0.330955037417601,-0.0135960791443175,-0.317358958273284,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641027_C2_D10_s2,metadata_required,tumor_aggressive,-0.58437468335957,0.000505609610509321,-0.58488029297008,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641027_C2_D10_s2,metadata_required,immune_maturity,0.0899991057213058,-0.00205904508214054,0.0920581508034464,0.99000999000999,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641028_C2_D10_s3,metadata_required,immune_core,-0.239340824345184,-0.00914460539236919,-0.230196218952815,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641028_C2_D10_s3,metadata_required,ifn_mhc,-0.341376346471596,-0.0072714994879207,-0.334104846983675,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641028_C2_D10_s3,metadata_required,tumor_aggressive,-0.562755259291501,-0.00185152554871851,-0.560903733742782,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641028_C2_D10_s3,metadata_required,immune_maturity,0.0222170178589557,-0.00401562060700454,0.0262326384659603,0.787212787212787,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641029_C2_D10_s4,metadata_required,immune_core,-0.208583564151265,-0.00564845854004117,-0.202935105611224,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641029_C2_D10_s4,metadata_required,ifn_mhc,-0.306184569437861,-0.00806427754862523,-0.298120291889236,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641029_C2_D10_s4,metadata_required,tumor_aggressive,-0.572807263326099,-0.00380112788866933,-0.569006135437429,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641029_C2_D10_s4,metadata_required,immune_maturity,0.055774778709707,0.00118129648952634,0.0545934822201807,0.95004995004995,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641030_C2_D11_ROI1_s1,metadata_required,immune_core,0.70462929998524,-0.0133654395978452,0.717994739583086,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641030_C2_D11_ROI1_s1,metadata_required,ifn_mhc,0.685696629449731,-0.0111633620515546,0.696859991501286,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641030_C2_D11_ROI1_s1,metadata_required,tumor_aggressive,-0.529595885820174,-0.0142960197078402,-0.515299866112334,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641030_C2_D11_ROI1_s1,metadata_required,immune_maturity,0.701012768975064,-0.0135822793348029,0.714595048309867,1,False,mvp_random_core_permutation_sample_stats.csv
