dataset,sample_id,patient_id,tissue_site,target_program,null_type,n_spots,n_core_spots,n_perm,observed_rho,null_median,null_p05,null_p95,delta,empirical_p,support
GSE274557,GSM8452864_Pt-6B,6B,liver_metastasis,SPP1/TAM,spatially_contiguous_random_core,2686,269,1000,-0.23263374478818516,-0.02866975189573293,-0.25749984021967864,0.24821767992353516,-0.20396399289245223,0.14985014985014986,True
GSE274557,GSM8452864_Pt-6B,6B,liver_metastasis,TGF-beta/EMT,spatially_contiguous_random_core,2686,269,1000,-0.4502842348532675,-0.08484356515084215,-0.222976149143836,0.16717524754547014,-0.3654406697024254,0.000999000999000999,True
GSE274557,GSM8452864_Pt-6B,6B,liver_metastasis,tumor epithelial,spatially_contiguous_random_core,2686,269,1000,-0.33424207417325147,-0.08664368289935587,-0.1912122316681345,0.08061803486350752,-0.2475983912738956,0.000999000999000999,True
GSE274557,GSM8452864_Pt-6B,6B,liver_metastasis,myCAF/matrix,spatially_contiguous_random_core,2686,269,1000,-0.5113483114068941,-0.08516232465726584,-0.23037692485630332,0.07739069161992336,-0.42618598674962827,0.000999000999000999,True
GSE274557,GSM8452865_Pt-6C,6C,peritoneal_metastasis,IFN/MHC,spatially_contiguous_random_core,2260,226,1000,-0.32186575847524596,-0.07393059632084786,-0.32802315990266634,0.13650790833249213,-0.2479351621543981,0.06393606393606394,True
GSE274557,GSM8452865_Pt-6C,6C,peritoneal_metastasis,immune-core,spatially_contiguous_random_core,2260,226,1000,-0.20496480248743745,-0.05129141317681602,-0.24487575116106644,0.11583476959963963,-0.15367338931062144,0.18281718281718282,True
GSE274557,GSM8452865_Pt-6C,6C,peritoneal_metastasis,tumor-aggressive,spatially_contiguous_random_core,2260,226,1000,-0.44228926732205565,-0.09335477236515,-0.5061391325204043,0.40451847556594855,-0.34893449495690565,0.13386613386613386,True
GSE274557,GSM8452865_Pt-6C,6C,peritoneal_metastasis,SPP1/TAM,spatially_contiguous_random_core,2260,226,1000,-0.4530251067272943,-0.0789154215208818,-0.321032020041448,0.2199433175586581,-0.3741096852064125,0.000999000999000999,True
GSE274557,GSM8452865_Pt-6C,6C,peritoneal_metastasis,TGF-beta/EMT,spatially_contiguous_random_core,2260,226,1000,-0.5604434152551926,-0.042859908083972414,-0.48974186731113645,0.439788598099406,-0.5175835071712201,0.000999000999000999,True
GSE274557,GSM8452865_Pt-6C,6C,peritoneal_metastasis,tumor epithelial,spatially_contiguous_random_core,2260,226,1000,-0.1674210190059111,-0.07365473343306889,-0.40836410042641885,0.362040853466824,-0.09376628557284222,0.4355644355644356,True
GSE274557,GSM8452865_Pt-6C,6C,peritoneal_metastasis,myCAF/matrix,spatially_contiguous_random_core,2260,226,1000,-0.47915344891556744,-0.004342179944598568,-0.4832587932802125,0.43461730634933027,-0.47481126897096887,0.06493506493506493,True
GSE274557,GSM8452866_Pt-6D,6D,peritoneal_metastasis,IFN/MHC,spatially_contiguous_random_core,2660,266,1000,-0.17868204706515609,0.03180377979886828,-0.08642412961376568,0.17977088875408073,-0.21048582686402437,0.000999000999000999,True
GSE274557,GSM8452866_Pt-6D,6D,peritoneal_metastasis,immune-core,spatially_contiguous_random_core,2660,266,1000,-0.1569218281612476,0.07578175200061182,-0.0903880849133019,0.16713488646710814,-0.23270358016185944,0.000999000999000999,True
GSE274557,GSM8452866_Pt-6D,6D,peritoneal_metastasis,tumor-aggressive,spatially_contiguous_random_core,2660,266,1000,-0.45390860078450074,0.15034977357194995,-0.28070841354079556,0.4446981861354618,-0.6042583743564507,0.000999000999000999,True
GSE274557,GSM8452866_Pt-6D,6D,peritoneal_metastasis,SPP1/TAM,spatially_contiguous_random_core,2660,266,1000,-0.31001719131820554,0.1041517187666185,-0.0962317622526972,0.24388262176248285,-0.41416891008482404,0.000999000999000999,True
GSE274557,GSM8452866_Pt-6D,6D,peritoneal_metastasis,TGF-beta/EMT,spatially_contiguous_random_core,2660,266,1000,-0.5231750455262014,0.11682041400792162,-0.40530687037891827,0.48875479782772785,-0.6399954595341231,0.000999000999000999,True
GSE274557,GSM8452866_Pt-6D,6D,peritoneal_metastasis,tumor epithelial,spatially_contiguous_random_core,2660,266,1000,-0.2369785035591579,0.08318573523543989,-0.0805565917048194,0.19973951037135204,-0.32016423879459777,0.000999000999000999,True
