dataset,tissue_site,target_program,null_type,n_samples,median_observed_rho,median_null,median_delta,support_n,support_fraction,median_empirical_p,context_label,panel,anchor_type,core_module,target_module,sensitivity_mode,target_removed_status,shared_genes_n,target_genes_n,remaining_target_genes_n,jaccard_index,percent_target_shared_with_core,median_overlap_sensitive_delta,shared_gene_symbols,dataset_id,sample_id,specimen_type,delta_vs_null_median__IFN_MHC,delta_vs_null_median__immune_core,delta_vs_null_median__tumor_aggressive,empirical_p_more_negative__IFN_MHC,empirical_p_more_negative__immune_core,empirical_p_more_negative__tumor_aggressive,null_median_rho__IFN_MHC,null_median_rho__immune_core,null_median_rho__tumor_aggressive,observed_rho__IFN_MHC,observed_rho__immune_core,observed_rho__tumor_aggressive,stromal_tumor_core_coupling,immune_core_coupling,immune_decoupling_index,core_enrichment__IFN/MHC,core_enrichment__immune core,core_enrichment__tumor aggressive,dominant_nmf_ecotype,dominant_nmf_ecotype_label,analysis,left_out_sample,n_samples_included,IFN_MHC_median_delta,immune_core_median_delta,tumor_aggressive_median_delta,IFN_MHC_support_n,immune_core_support_n,tumor_aggressive_support_n,rank,n_runs,n_features,reconstruction_error_mean,reconstruction_error_sd,reconstruction_error_best,relative_error_mean,explained_fraction_mean,explained_fraction_best,ari_mean,ari_sd,component_cosine_to_best_mean,component_cosine_to_best_sd,n_converged_runs,n_not_converged_runs,min_dominant_component_n_best,max_dominant_component_n_best,consensus_pac_0.1_0.9,consensus_cophenetic,delta_explained_from_previous_rank,delta_best_explained_from_previous_rank,init,seed,reconstruction_error,relative_error,explained_fraction,n_iter,converged,min_dominant_component_n,max_dominant_component_n,component_labels
GSE274557,peritoneal_metastasis,tumor-aggressive,spatially_contiguous_random_core,14.0,-0.2458112779743276,-0.0758462094265647,-0.20244585485745,11.0,0.7857142857142857,0.2452547452547452,"GSE274557
peritoneal",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,primary_tumor,IFN/MHC,spatially_contiguous_random_core,19.0,-0.2851856943514236,-0.0265775765872731,-0.2456884366538928,19.0,1.0,0.0039960039960039,"GSE274557
primary",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,primary_tumor,SPP1/TAM,spatially_contiguous_random_core,19.0,-0.34134785093736,-0.0242915976259946,-0.2796005639412798,19.0,1.0,0.0009990009990009,"GSE274557
primary",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,primary_tumor,TGF-beta/EMT,spatially_contiguous_random_core,19.0,-0.359820892327774,-0.0421351959444791,-0.3377978383014188,19.0,1.0,0.0009990009990009,"GSE274557
primary",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,primary_tumor,immune-core,spatially_contiguous_random_core,19.0,-0.2975309733480515,-0.0301104143444864,-0.2917555728850303,19.0,1.0,0.0009990009990009,"GSE274557
primary",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,primary_tumor,tumor-aggressive,spatially_contiguous_random_core,19.0,-0.1352389230264683,-0.0344574605272143,-0.0583302037676913,13.0,0.6842105263157895,0.4505494505494505,"GSE274557
primary",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE282302,metadata_required,IFN/MHC,spatially_contiguous_random_core,108.0,-0.2942630472397766,-0.032788366883601,-0.2610949395500245,92.0,0.8518518518518519,0.0859140859140859,"GSE282302
post-NACT",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE282302,metadata_required,SPP1/TAM,spatially_contiguous_random_core,108.0,-0.4136081155312655,-0.0429995872283298,-0.3684482324563232,102.0,0.9444444444444444,0.0009990009990009,"GSE282302
post-NACT",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE282302,metadata_required,TGF-beta/EMT,spatially_contiguous_random_core,108.0,-0.5683318474672301,-0.0301821232443207,-0.5256646355536183,104.0,0.9629629629629628,0.0009990009990009,"GSE282302
post-NACT",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE282302,metadata_required,immune-core,spatially_contiguous_random_core,108.0,-0.2224524108959664,0.0001275325458646,-0.1754644859436049,89.0,0.8240740740740741,0.1768231768231768,"GSE282302
post-NACT",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
