title,geo_accession,tissue,treatment,tissue.type,dcc_id,sample_id,roi_id,patient_id,aoi_type,caf_mycaf,pancaf_matrix,myeloid_macrophage,spp1_tam,tgfb_emt,ifn_apc,immune_core,t_cell,b_plasma,tumor_aggressive,tumor_epithelial
"79.2,tumor [DSP-1001660005320-D-D10]",GSM7681009,Pancreatic Ductal Adenocarcinoma,Naïve,tumor,DSP-1001660005320-D-D10.dcc,79.2,79.2,79,tumor,-0.397508331204749,-0.525612199338495,-0.171338172351493,0.362597496427338,-0.333335548301046,-0.22946570979104,-0.366130624342848,-0.339429240519068,,0.827809744533639,0.862589161996959
"79.2,stroma [DSP-1001660005320-D-D11]",GSM7681010,Pancreatic Ductal Adenocarcinoma,Naïve,stroma,DSP-1001660005320-D-D11.dcc,79.2,79.2,79,stroma,0.70192645311481,0.184048692930506,0.566570040225176,0.173038441207212,-0.358292828296674,0.291240988545893,0.339409398632495,0.24325720498258,,-0.261975365243503,-0.709400470672579
"97.1,tumor [DSP-1001660005320-D-D12]",GSM7681011,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-D12.dcc,97.1,97.1,97,tumor,-0.649084190962235,-0.649516991640282,-0.169305089095901,0.492206121775509,-0.648454642427903,0.413590563334459,0.00339994977500553,-0.388841961556348,,0.822755250752581,0.837147634843899
"97.1,stroma [DSP-1001660005320-D-E01]",GSM7681012,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-E01.dcc,97.1,97.1,97,stroma,0.101525845257434,0.320619397567606,0.948678540797587,0.728566336225786,-0.150847865487835,0.311709894551803,1.11797536276376,1.03205535773895,,0.0136032486538404,-0.865649556192373
"97.2,tumor [DSP-1001660005320-D-E02]",GSM7681013,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-E02.dcc,97.2,97.2,97,tumor,-0.698908384543623,-0.754384756217296,-0.333518159064548,0.540819316196151,-0.722002772921648,-0.0220658926860616,0.100531533094491,-0.142046781489589,,-0.122862050917905,0.356116484022965
"97.2,stroma [DSP-1001660005320-D-E03]",GSM7681014,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-E03.dcc,97.2,97.2,97,stroma,0.735859560430407,0.562602824314694,0.0412919172079918,-0.000969879690409381,1.13768210946013,-0.0332471875786928,0.385823285142405,0.353376482680033,,-0.22268339856252,-0.430235514522685
"68.1,tumor [DSP-1001660005320-D-E04]",GSM7681015,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-E04.dcc,68.1,68.1,68,tumor,-0.677996580222118,-0.583286070728655,-0.53699696928013,-0.155540214480952,-0.155328004009627,-0.649969350509633,-0.725766284000539,-0.906711248584428,,0.204278807328681,0.467688127884127
"68.1,stroma [DSP-1001660005320-D-E05]",GSM7681016,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-E05.dcc,68.1,68.1,68,stroma,0.900174022187374,0.583150379753616,1.04070991363355,-0.192643023911291,-0.233009153708323,-0.105173152593323,0.316520773425206,-0.066123211462743,,-0.333840434130206,-0.582631966665471
"68.2,tumor [DSP-1001660005320-D-E06]",GSM7681017,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-E06.dcc,68.2,68.2,68,tumor,-0.723531064072191,-0.681597606167817,-0.787573745642016,-0.273529321265848,-0.376128938170482,-0.0387999871363902,-0.13438668360068,-0.821896957931439,,0.284726953760946,0.335690511547088
"68.2,stroma [DSP-1001660005320-D-E07]",GSM7681018,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-E07.dcc,68.2,68.2,68,stroma,-0.307948072455351,-0.0986999322387482,0.0591269515373196,-0.427802567715332,0.0565655058248643,0.524605131255545,1.59062014722406,2.22396423140139,,-0.505568107550199,-0.861259140750096
"68.3,tumor [DSP-1001660005320-D-E08]",GSM7681019,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-E08.dcc,68.3,68.3,68,tumor,-0.759418469870085,-0.891568921082522,-0.582270207912747,-0.227161932075121,-0.246638524859227,-0.261481171691223,-0.644298637496265,-0.85448966876683,,-0.10916328394114,0.666699642747997
"68.3,stroma [DSP-1001660005320-D-E09]",GSM7681020,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-E09.dcc,68.3,68.3,68,stroma,-0.60351347539924,-0.701631431810554,0.142094712534672,-0.39522706860204,-0.579088077114534,-0.0119886722186287,-0.0547350275120902,-0.364801985513753,,-0.406303190735964,-0.254810341196192
"95.1,tumor [DSP-1001660005320-D-E10]",GSM7681021,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-E10.dcc,95.1,95.1,95,tumor,-0.658444928935843,-0.672315619784772,-0.630637372532073,0.139272499273868,-0.317324975478062,-0.677270598292234,-0.771979718777716,-0.679327117626837,,0.000995945626445366,1.673169533915
